station_id,station_name,temp,latitude,longitude,avg_trip_count,day_count,coords_x,coords_y
2,Buckingham Fountain,30.0,41.8765,-87.6205,4.516129032258065,62,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,35.0,41.8765,-87.6205,7.184782608695652,92,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,40.0,41.8765,-87.6205,10.625,96,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,45.0,41.8765,-87.6205,15.093023255813954,86,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,50.0,41.8765,-87.6205,20.84158415841584,101,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,55.0,41.8765,-87.6205,30.640625,64,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,60.0,41.8765,-87.6205,51.59183673469388,98,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,65.0,41.8765,-87.6205,70.23529411764706,102,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,70.0,41.8765,-87.6205,83.50980392156863,153,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,75.0,41.8765,-87.6205,80.58974358974359,156,-9753869.443052027,5142497.657659135
2,Buckingham Fountain,80.0,41.8765,-87.6205,78.97435897435898,78,-9753869.443052027,5142497.657659135
3,Shedd Aquarium,30.0,41.8672,-87.6154,11.482758620689655,87,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,35.0,41.8672,-87.6154,18.495726495726494,117,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,40.0,41.8672,-87.6154,30.774774774774773,111,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,45.0,41.8672,-87.6154,38.67,100,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,50.0,41.8672,-87.6154,52.083333333333336,108,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,55.0,41.8672,-87.6154,68.22857142857143,70,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,60.0,41.8672,-87.6154,96.93333333333334,105,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,65.0,41.8672,-87.6154,120.24074074074075,108,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,70.0,41.8672,-87.6154,149.79245283018867,159,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,75.0,41.8672,-87.6154,140.05917159763314,169,-9753301.71364898,5141107.359171127
3,Shedd Aquarium,80.0,41.8672,-87.6154,143.20238095238096,84,-9753301.71364898,5141107.359171127
4,Burnham Harbor,30.0,41.8563,-87.6133,3.8987341772151898,79,-9753067.942718314,5139478.126951966
4,Burnham Harbor,35.0,41.8563,-87.6133,6.981651376146789,109,-9753067.942718314,5139478.126951966
4,Burnham Harbor,40.0,41.8563,-87.6133,12.87037037037037,108,-9753067.942718314,5139478.126951966
4,Burnham Harbor,45.0,41.8563,-87.6133,20.482758620689655,87,-9753067.942718314,5139478.126951966
4,Burnham Harbor,50.0,41.8563,-87.6133,32.25252525252525,99,-9753067.942718314,5139478.126951966
4,Burnham Harbor,55.0,41.8563,-87.6133,45.779411764705884,68,-9753067.942718314,5139478.126951966
4,Burnham Harbor,60.0,41.8563,-87.6133,68.62135922330097,103,-9753067.942718314,5139478.126951966
4,Burnham Harbor,65.0,41.8563,-87.6133,89.27884615384616,104,-9753067.942718314,5139478.126951966
4,Burnham Harbor,70.0,41.8563,-87.6133,107.63291139240506,158,-9753067.942718314,5139478.126951966
4,Burnham Harbor,75.0,41.8563,-87.6133,101.85207100591715,169,-9753067.942718314,5139478.126951966
4,Burnham Harbor,80.0,41.8563,-87.6133,94.29761904761905,84,-9753067.942718314,5139478.126951966
5,State St & Harrison St,30.0,41.8741,-87.6277,8.544,125,-9754670.943385739,5142138.851586865
5,State St & Harrison St,35.0,41.8741,-87.6277,9.031847133757962,157,-9754670.943385739,5142138.851586865
5,State St & Harrison St,40.0,41.8741,-87.6277,11.356687898089172,157,-9754670.943385739,5142138.851586865
5,State St & Harrison St,45.0,41.8741,-87.6277,15.25,144,-9754670.943385739,5142138.851586865
5,State St & Harrison St,50.0,41.8741,-87.6277,18.25,148,-9754670.943385739,5142138.851586865
5,State St & Harrison St,55.0,41.8741,-87.6277,23.39047619047619,105,-9754670.943385739,5142138.851586865
5,State St & Harrison St,60.0,41.8741,-87.6277,28.10810810810811,148,-9754670.943385739,5142138.851586865
5,State St & Harrison St,65.0,41.8741,-87.6277,33.61585365853659,164,-9754670.943385739,5142138.851586865
5,State St & Harrison St,70.0,41.8741,-87.6277,39.266666666666666,225,-9754670.943385739,5142138.851586865
5,State St & Harrison St,75.0,41.8741,-87.6277,38.98695652173913,230,-9754670.943385739,5142138.851586865
5,State St & Harrison St,80.0,41.8741,-87.6277,39.629629629629626,108,-9754670.943385739,5142138.851586865
6,Dusable Harbor,30.0,41.887,-87.6128,5.2465753424657535,73,-9753012.282972919,5144067.592677079
6,Dusable Harbor,35.0,41.887,-87.6128,8.490384615384615,104,-9753012.282972919,5144067.592677079
6,Dusable Harbor,40.0,41.887,-87.6128,16.205607476635514,107,-9753012.282972919,5144067.592677079
6,Dusable Harbor,45.0,41.887,-87.6128,21.229166666666668,96,-9753012.282972919,5144067.592677079
6,Dusable Harbor,50.0,41.887,-87.6128,31.358490566037737,106,-9753012.282972919,5144067.592677079
6,Dusable Harbor,55.0,41.887,-87.6128,42.1,70,-9753012.282972919,5144067.592677079
6,Dusable Harbor,60.0,41.887,-87.6128,67.01923076923077,104,-9753012.282972919,5144067.592677079
6,Dusable Harbor,65.0,41.887,-87.6128,92.82407407407408,108,-9753012.282972919,5144067.592677079
